SampleID,EOVXX,EOVYY,OID_,esrignss_l,esrignss_1,esrignss_a,Medián_As,Medián_Ca,Medián_Cd,Medián_Co,Medián_Cr,Medián_Cu,Medián_Fe,Medián_K,Medián_Mn,Medián_Mo,Medián_Ni,Medián_Pb,Medián_Ti,Medián_V,Medián_Zn
02_0001_S,845588.4737,253695.1635,,47.59786309,21.64879888,128.4968723,9.688160896,23388.96484,2.54739356,8.905649185,79.5664444,17.50079918,11061.93262,8237.810547,520.2156982,1.462628007,11.34127522,4.735413551,2890.820313,87.09283447,35.59247971
02_0002_S,845531.7683,253673.3173,1,47.59768366,21.64803559,131.5599051,7.913368225,23967.87891,0.887422323,5.787603378,67.13669586,12.96265316,7262.875488,10427.12109,358.9898376,1.062206745,19.82479668,,2478.60083,85.71310425,47.25690079
02_0003_S,844190.8998,252484.0235,2,47.587392,21.62969283,134.9302822,7.462396145,26640.51367,0.910301208,4.46,46.00609589,11.41555882,5940.69043,8772.107422,238.3946381,1.329154253,10.3661623,,1737.894043,48.59864807,34.83993912
09_0002_S,841534.3167,237929.3044,3,47.45732932,21.58810663,107.0423955,9.128083229,24443.1543,0.816244364,11.26143074,131.1499786,27.40220261,13121.30273,15919.94629,669.3388062,0.811789691,38.54704285,,3343.295654,120.7579727,59.89962006
09_0003_S,841724.0866,237648.7115,4,47.45475128,21.59050112,102.927714,8.080664635,25916.08594,2.933787823,8.113096237,49.11352539,10.07474613,10013.75977,8628.758789,404.3751221,2.007544518,3.735368729,,1947.224365,53.42766953,36.57078552
09_0004_S,841715.293,237510.6059,5,47.45384644,21.59019975,104.9618912,8.058842659,24966.58398,1.72630477,7.090014458,86.71356201,18.32591629,8798.779297,10896.26074,309.714386,1.354563713,18.2646122,,2605.00415,87.64471436,47.48265839
09_0005_S,841574.7107,237019.475,6,47.44913803,21.58825011,104.1042519,9.004428864,24383.48242,0.27224195,9.243872643,106.9119415,24.10173607,11212.45996,14062.94141,526.2670288,0.657193482,32.98887253,,2930.270996,114.1353302,48.68672562
09_0006_S,841562.5954,236811.795,7,47.44727449,21.58800009,103.4197544,7.506039143,23641.25977,1.317031741,5.415726185,86.09207916,18.01649666,8179.284668,11287.20898,388.3822021,1.042614579,19.43474388,,3786.109375,125.8629379,28.74433708
09_0007_S,841581.6286,236802.8929,8,47.4471889,21.5882485,102.495594,7.469669819,24786.52344,0.501028061,3.966920376,99.14333344,20.90440941,5861.080566,10909.29199,252.6586151,0.567190051,23.33522034,,3339.27002,113.721405,25.13212395
09_0008_S,841528.8489,236479.6568,9,47.44429837,21.58740983,102.3579799,7.549681187,25117.33203,0.923011899,5.838084221,86.09207916,19.97615433,7457.001953,11717.25195,384.4920349,0.848832786,28.9908886,,3166.170166,114.1353302,31.37823105
09_0009_S,841600.1135,236901.9082,10,47.44807366,21.58853613,104.1917801,8.27705574,23840.16211,0.923011899,7.525833607,88.26728821,19.76986694,9332.591797,11319.78906,480.8817749,1.022409081,24.31033325,,2848.14917,101.5798874,40.4840126
09_0010_S,840455.5919,237966.2952,11,47.45797616,21.57382343,107.7959932,8.45162487,24835.72656,1.423799276,8.920793533,139.5400543,27.60847855,10864.63281,13020.41406,523.673584,0.513617575,31.13614655,,4057.433838,147.3865662,48.15994644
09_0011_S,840167.7985,237734.3594,12,47.45597456,21.56990933,105.2346206,7.847904682,27427.75391,2.677038908,8.19386673,76.45901489,19.97615433,9879.790039,10355.44922,376.27948,1.864580154,10.65869331,,2272.491455,82.2638092,34.53891754
09_0012_S,839943.7139,237755.0333,13,47.45622539,21.56694787,105.0930188,8.160676003,27235.13086,2.013559341,9.615749359,80.80942535,20.59498215,11553.38867,12049.55664,473.1014404,1.430790067,19.92230606,,2499.533936,95.23317719,43.19316101
09_0013_S,839554.035,237784.6943,14,47.45660483,21.56179521,108.3920709,8.480719566,25133.03516,0.879796863,9.794115067,79.25570679,21.83266449,11750.41211,13202.85645,632.5982666,0.809035182,33.76895523,,2546.230713,101.5798874,46.80537033
09_0014_S,839497.6779,237775.6481,15,47.4565398,21.56104431,104.9903168,7.826083183,23566.93164,1.858492613,7.699151993,68.37966919,14.61288643,9496.779297,10120.87793,356.8286438,1.633143663,14.26662636,,2123.544678,67.22486115,33.33485031
09_0015_S,842579.0738,234649.0462,16,47.42753333,21.60053526,101.9541548,7.986105442,24101.87695,1.454303622,8.553964615,64.33998871,19.15103912,10640.42871,11078.70313,420.8002625,1.10873878,19.53225517,,2638.013916,85.85107422,39.58095551
